3101001,1,0,1,1,1,1,1,1,1,1,1,1,0,
3101002,1,0,1,1,1,1,1,1,1,1,1,1,0,
3101003,1,0,1,1,1,1,1,1,1,1,1,1,0,
3101004,1,1,1,1,1,1,1,1,1,1,0,1,1,
3101005,1,1,1,1,1,1,1,1,1,1,0,1,1,
3101006,1,1,1,1,1,1,1,1,1,1,0,1,1,
3101007,1,1,1,1,1,1,1,0,1,1,0,0,0,
3101008,1,1,1,1,1,1,1,0,1,1,0,0,0,
3101009,1,0,0,0,0,0,0,0,1,1,1,1,1,
3101010,1,0,0,0,0,0,0,0,1,1,1,1,1,
3101011,1,1,1,1,1,1,1,0,1,1,0,0,0,
3101012,1,0,0,0,0,0,0,0,1,1,1,1,1,
3101013,1,0,1,1,1,1,0,0,0,0,0,0,1,
3101014,1,0,1,1,1,1,0,0,0,0,0,0,1,
3101015,1,0,1,1,1,1,0,0,0,0,0,0,1,
3101016,1,0,1,0,1,0,1,0,1,0,1,0,1,
